Date,machoz,גבוהה מאוד,גבוהה,בינונית,נמוכה,נמוכה מאוד,לא יודע
2023-10-19,צפון,0.0,0.347,0.386,0.085,0.136,0.047
2023-10-19,חיפה,0.056,0.259,0.36,0.133,0.161,0.03
2023-10-19,מרכז,0.048,0.193,0.434,0.177,0.141,0.007
2023-10-19,תל אביב,0.044,0.224,0.369,0.17,0.193,0.0
2023-10-19,ירושלים,0.075,0.265,0.333,0.205,0.083,0.039
2023-10-19,יהודה ושומרון,0.03,0.183,0.465,0.257,0.065,0.0
2023-10-19,דרום,0.017,0.29,0.407,0.109,0.177,0.0
2023-10-26,צפון,0.124,0.099,0.48,0.216,0.081,0.0
2023-10-26,חיפה,0.055,0.267,0.325,0.214,0.123,0.016
2023-10-26,מרכז,0.016,0.272,0.423,0.155,0.134,0.0
2023-10-26,תל אביב,0.022,0.119,0.499,0.237,0.124,0.0
2023-10-26,ירושלים,0.032,0.214,0.407,0.228,0.119,0.0
2023-10-26,יהודה ושומרון,0.0,0.321,0.415,0.12,0.144,0.0
2023-10-26,דרום,0.033,0.222,0.267,0.246,0.208,0.023
2023-11-02,צפון,0.097,0.253,0.591,0.041,0.018,0.0
2023-11-02,חיפה,0.058,0.257,0.468,0.139,0.078,0.0
2023-11-02,מרכז,0.066,0.269,0.427,0.145,0.077,0.015
2023-11-02,תל אביב,0.054,0.251,0.36,0.193,0.142,0.0
2023-11-02,ירושלים,0.039,0.279,0.495,0.139,0.033,0.014
2023-11-02,יהודה ושומרון,0.0,0.296,0.413,0.096,0.195,0.0
2023-11-02,דרום,0.108,0.211,0.455,0.107,0.12,0.0
2023-11-09,צפון,0.047,0.257,0.558,0.137,0.0,0.0
2023-11-09,חיפה,0.068,0.333,0.402,0.165,0.032,0.0
2023-11-09,מרכז,0.029,0.237,0.511,0.117,0.092,0.015
2023-11-09,תל אביב,0.118,0.207,0.389,0.157,0.104,0.025
2023-11-09,ירושלים,0.102,0.2,0.523,0.11,0.065,0.0
2023-11-09,יהודה ושומרון,0.071,0.281,0.537,0.075,0.036,0.0
2023-11-09,דרום,0.092,0.282,0.502,0.076,0.039,0.009
2023-11-30,צפון,0.135,0.173,0.368,0.241,0.056,0.027
2023-11-30,חיפה,0.058,0.243,0.468,0.153,0.049,0.03
2023-11-30,מרכז,0.036,0.256,0.504,0.113,0.091,0.0
2023-11-30,תל אביב,0.049,0.235,0.513,0.121,0.082,0.0
2023-11-30,ירושלים,0.04,0.244,0.48,0.123,0.097,0.015
2023-11-30,יהודה ושומרון,0.0,0.401,0.362,0.151,0.039,0.047
2023-11-30,דרום,0.052,0.263,0.476,0.135,0.063,0.011
2023-12-14,צפון,0.07,0.283,0.469,0.162,0.017,0.0
2023-12-14,חיפה,0.069,0.341,0.403,0.144,0.043,0.0
2023-12-14,מרכז,0.013,0.278,0.496,0.15,0.063,0.0
2023-12-14,תל אביב,0.072,0.178,0.592,0.122,0.036,0.0
2023-12-14,ירושלים,0.031,0.316,0.502,0.119,0.016,0.017
2023-12-14,יהודה ושומרון,0.038,0.189,0.544,0.115,0.059,0.055
2023-12-14,דרום,0.053,0.294,0.435,0.122,0.067,0.029
2023-12-21,צפון,0.184,0.338,0.421,0.023,0.035,0.0
2023-12-21,חיפה,0.098,0.237,0.462,0.071,0.114,0.017
2023-12-21,מרכז,0.052,0.353,0.438,0.078,0.063,0.017
2023-12-21,תל אביב,0.027,0.285,0.425,0.14,0.089,0.034
2023-12-21,ירושלים,0.061,0.318,0.469,0.108,0.023,0.02
2023-12-21,יהודה ושומרון,0.036,0.339,0.409,0.142,0.074,0.0
2023-12-21,דרום,0.087,0.295,0.412,0.134,0.071,0.0
2023-12-28,צפון,0.019,0.153,0.542,0.169,0.077,0.04
2023-12-28,חיפה,0.057,0.286,0.402,0.188,0.066,0.0
2023-12-28,מרכז,0.058,0.264,0.506,0.136,0.029,0.008
2023-12-28,תל אביב,0.045,0.293,0.49,0.097,0.065,0.01
2023-12-28,ירושלים,0.0,0.295,0.519,0.146,0.041,0.0
2023-12-28,יהודה ושומרון,0.0,0.428,0.436,0.095,0.041,0.0
2023-12-28,דרום,0.028,0.241,0.523,0.101,0.086,0.02
2024-02-24,צפון,0.101,0.201,0.476,0.185,0.037,0.0
2024-02-24,חיפה,0.046,0.192,0.481,0.197,0.071,0.012
2024-02-24,מרכז,0.05,0.164,0.527,0.197,0.032,0.029
2024-02-24,תל אביב,0.062,0.189,0.444,0.241,0.055,0.009
2024-02-24,ירושלים,0.0,0.258,0.532,0.151,0.058,0.0
2024-02-24,יהודה ושומרון,0.069,0.29,0.485,0.093,0.038,0.024
2024-02-24,דרום,0.023,0.322,0.401,0.106,0.125,0.023
2024-03-01,צפון,0.098,0.175,0.636,0.071,0.02,0.0
2024-03-01,חיפה,0.0,0.265,0.577,0.13,0.013,0.014
2024-03-01,מרכז,0.028,0.229,0.439,0.187,0.099,0.019
2024-03-01,תל אביב,0.036,0.278,0.444,0.159,0.083,0.0
2024-03-01,ירושלים,0.016,0.402,0.469,0.055,0.059,0.0
2024-03-01,יהודה ושומרון,0.042,0.313,0.401,0.244,0.0,0.0
2024-03-01,דרום,0.07,0.232,0.538,0.104,0.056,0.0
2024-04-01,צפון,0.062,0.227,0.495,0.11,0.107,0.0
2024-04-01,חיפה,0.045,0.231,0.456,0.158,0.06,0.049
2024-04-01,מרכז,0.027,0.195,0.482,0.187,0.103,0.005
2024-04-01,תל אביב,0.037,0.18,0.494,0.162,0.089,0.038
2024-04-01,ירושלים,0.037,0.294,0.473,0.131,0.065,0.0
2024-04-01,יהודה ושומרון,0.093,0.171,0.457,0.198,0.081,0.0
2024-04-01,דרום,0.023,0.147,0.555,0.168,0.088,0.019
2024-05-01,צפון,0.061,0.254,0.45,0.088,0.147,0.0
2024-05-01,חיפה,0.053,0.168,0.516,0.171,0.092,0.0
2024-05-01,מרכז,0.027,0.219,0.438,0.238,0.072,0.007
2024-05-01,תל אביב,0.034,0.191,0.493,0.14,0.133,0.009
2024-05-01,ירושלים,0.036,0.295,0.367,0.183,0.119,0.0
2024-05-01,יהודה ושומרון,0.039,0.507,0.302,0.1,0.051,0.0
2024-05-01,דרום,0.059,0.231,0.4,0.212,0.087,0.011
2024-06-01,צפון,0.048,0.25,0.4,0.198,0.094,0.01
2024-06-01,חיפה,0.037,0.215,0.45,0.182,0.086,0.03
2024-06-01,מרכז,0.031,0.272,0.468,0.158,0.062,0.01
2024-06-01,תל אביב,0.053,0.231,0.404,0.168,0.114,0.031
2024-06-01,ירושלים,0.068,0.207,0.496,0.144,0.075,0.01
2024-06-01,יהודה ושומרון,0.032,0.292,0.429,0.088,0.099,0.061
2024-06-01,דרום,0.069,0.204,0.535,0.118,0.068,0.006
2024-08-07,צפון,0.021,0.149,0.33,0.261,0.165,0.074
2024-08-07,חיפה,0.056,0.135,0.444,0.175,0.175,0.016
2024-08-07,דרום,0.062,0.2,0.423,0.146,0.108,0.062
2024-08-07,מרכז,0.079,0.146,0.469,0.185,0.083,0.039
2024-08-07,תל אביב,0.058,0.222,0.497,0.14,0.076,0.006
2024-08-07,ירושלים,0.076,0.304,0.43,0.076,0.089,0.025
2024-08-07,יהודה ושומרון,0.042,0.083,0.542,0.167,0.125,0.042
2024-09-12,ירושלים,0.076,0.241,0.443,0.114,0.114,0.013
2024-09-12,חיפה,0.025,0.173,0.469,0.235,0.099,0.0
2024-09-12,צפון,0.034,0.225,0.506,0.146,0.09,0.0
2024-09-12,מרכז,0.029,0.167,0.55,0.146,0.096,0.013
2024-09-12,תל אביב,0.045,0.216,0.432,0.153,0.136,0.017
2024-09-12,דרום,0.044,0.239,0.425,0.168,0.115,0.009
2024-09-12,יהודה ושומרון,,0.273,0.5,0.182,0.045,0.0
2024-10-10,ירושלים,0.074,0.284,0.469,0.111,0.062,0.0
2024-10-10,חיפה,0.111,0.309,0.37,0.148,0.049,0.012
2024-10-10,צפון,0.035,0.279,0.419,0.163,0.105,0.0
2024-10-10,מרכז,0.029,0.24,0.463,0.153,0.107,0.008
2024-10-10,תל אביב,0.073,0.225,0.421,0.129,0.146,0.006
2024-10-10,דרום,0.062,0.265,0.442,0.159,0.071,0.0
2024-10-10,יהודה ושומרון,0.125,0.333,0.458,0.042,0.042,0.0
2024-11-07,ירושלים,0.075,0.288,0.363,0.163,0.088,0.025
2024-11-07,חיפה,0.05,0.3,0.413,0.188,0.05,0.0
2024-11-07,צפון,0.056,0.202,0.449,0.213,0.079,0.0
2024-11-07,מרכז,0.05,0.202,0.5,0.165,0.079,0.004
2024-11-07,תל אביב,0.045,0.226,0.429,0.186,0.096,0.017
2024-11-07,דרום,0.018,0.358,0.394,0.119,0.092,0.018
2024-11-07,יהודה ושומרון,0.304,0.174,0.348,0.13,0.0,0.043
